Time,aMag,gMag,ang,bpm,but
297434,1.0050373127401788,0.6664082832618454,264.250957109195,85.59,0
298576,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
299757,1.0050373127401788,0.6582552696332935,264.250957109195,83.22,0
300899,1.0050373127401788,0.7142128534267639,264.250957109195,78.84,0
302040,1.0050373127401788,0.7040596565632774,264.250957109195,37.93,0
303182,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
304383,1.0050373127401788,0.7142128534267639,264.250957109195,78.84,0
305525,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
306667,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
307808,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
308930,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
310071,1.0050373127401788,0.7217340230306453,264.250957109195,88.11,0
311213,1.0050373127401788,0.7142128534267639,264.250957109195,76.82,0
312354,1.0050373127401788,0.7217340230306453,264.250957109195,39.95,0
313616,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
314758,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
315899,1.0050373127401788,0.7142128534267639,264.250957109195,78.84,0
317041,1.0050373127401788,0.7075309180523491,264.250957109195,78.84,0
318182,1.0050373127401788,0.6868769904429759,264.250957109195,78.84,0
319384,1.0050373127401788,0.6472248450113762,264.250957109195,76.82,0
320505,1.0050373127401788,0.7217340230306453,264.250957109195,76.82,0
321647,1.0050373127401788,0.7217340230306453,264.250957109195,76.82,0
322848,1.0050373127401788,0.7217340230306453,264.250957109195,76.82,0
323990,1.0050373127401788,0.7040596565632774,264.250957109195,83.22,0
325131,1.0050373127401788,0.7406753674856482,264.250957109195,83.22,0
326273,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
327415,1.0050373127401788,0.7406753674856482,264.250957109195,80.97,0
328616,1.0050373127401788,0.6664082832618454,264.250957109195,88.11,0
329818,1.0050373127401788,0.7040596565632774,264.250957109195,83.22,0
331019,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
332161,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
333303,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
334504,1.0050373127401788,0.7217340230306453,264.250957109195,85.59,0
